39536	
	(1.511072699e-12,8.318900467e-13)	(-1.279491331e-44,1.389441761e-44)	(-9.489832005e-44,-9.020174676e-44)	(-6.465128225e-45,-8.640651403e-45)	(-1.478103007e-44,-2.438895163e-44)
	(-1.404373282e-44,-2.605636481e-44)	(-2.684445672e-45,-2.725913289e-44)	(7.220204622e-13,6.579177639e-13)	(-2.992770612e-13,-3.316043034e-13)	(2.551377531e-13,2.519773844e-14)
	(-3.437843426e-13,3.233947541e-13)	(-1.54602931e-13,6.210456824e-13)	(4.261660377e-13,-6.89360152e-14)	(-2.995678461e-13,9.335183758e-13)	(6.863369256e-13,5.678315837e-13)
	(-3.293880113e-13,-8.875365576e-13)	(8.66479532e-13,1.363807114e-12)	(3.087853396e-13,1.053770702e-12)	(-2.093186499e-13,-7.592831314e-13)	(-4.693003323e-13,-2.669609134e-13)
	(-4.413715692e-13,-6.633114952e-13)	(9.160969325e-45,-3.791056101e-44)	(-7.706956575e-14,-1.484917001e-12)	(2.203030463e-12,-9.154952235e-13)	(1.976557328e-13,5.984500294e-13)
	(-1.135478332e-12,-5.780323897e-13)	(3.345141452e-14,-4.40534888e-13)	(-7.906081677e-14,1.114487114e-13)	(-2.90993883e-13,-1.082507383e-13)	(-2.655900264e-13,1.901605924e-13)
	(1.0313281e-13,-5.820531811e-13)	(-1.300975524e-12,5.262619345e-13)	(3.534305316e-13,7.697583098e-14)	(7.222979395e-13,-1.219882139e-13)	(1.379259101e-12,6.472497507e-13)
	(-9.979740652e-13,1.232624115e-12)	(1.452205638e-13,-8.824798475e-13)	(2.004428053e-13,-1.579230065e-13)	(-4.123848519e-13,-3.662227657e-13)	(2.591557341e-13,-2.461141905e-13)
	(-3.21875715e-13,-2.076145381e-13)	(2.099314609e-13,-1.731643e-13)	(5.000177933e-13,-1.694144272e-13)	(2.296802009e-13,-8.890760534e-13)	(8.397153462e-45,3.212446243e-44)
	(-6.688616537e-14,-2.934355865e-13)	(9.2031191e-13,-1.399611127e-13)	(4.025625618e-44,7.710156541e-45)	(-8.792258735e-44,-1.160396867e-43)	(3.621170355e-44,1.752990739e-44)
	(8.427817504e-46,3.613178979e-44)	(-1.092835409e-43,-1.331844884e-43)	(-3.171497294e-45,-2.083336295e-44)	(4.158898294e-13,-5.910246831e-13)	(-7.546066415e-14,9.524903548e-14)
	(2.916443949e-13,-8.749200692e-13)	(2.192071432e-44,-1.512586119e-44)	(-4.922052925e-44,-6.089559739e-44)	(-4.30042073e-45,2.903845987e-44)	(9.885229028e-13,1.180116379e-12)
	(4.918528094e-13,4.115841275e-15)	(-1.622264205e-13,2.788466925e-13)	(5.280911213e-13,-1.055861343e-12)	(2.906378696e-13,-4.376062534e-13)	(-4.873777302e-13,-5.808000412e-14)
	(5.545378261e-13,7.349533026e-14)	(9.521493993e-14,-5.944639708e-13)	(-2.439375206e-13,1.629010285e-13)	(2.856802763e-13,-3.248468352e-13)	(6.681429778e-13,-4.273899341e-13)
	(-4.460287343e-13,-3.319163046e-13)	(-5.249772525e-13,1.279693531e-13)	(-6.424138578e-13,2.276196854e-13)	(1.676404716e-13,-7.067743426e-13)	(-3.192467557e-13,5.595114197e-13)
	(1.397505386e-13,1.027277678e-14)	(1.529877874e-45,1.770484968e-44)	(-3.633695287e-13,1.046095465e-12)	(-7.698503117e-13,2.022003244e-13)	(-1.336922219e-12,6.76088677e-13)
	(-3.702412827e-13,-1.765083444e-13)	(4.718410677e-13,-3.28011466e-13)	(-1.724427049e-14,-5.633630816e-13)	(-9.211297647e-13,5.878858692e-13)	(6.735307602e-14,9.859798652e-14)
	(-7.569473292e-13,1.349404263e-12)	(-6.134838563e-13,4.414045279e-13)	(1.792294753e-13,-7.159343729e-13)	(-1.798106717e-44,-6.055488328e-44)	(-1.038082667e-12,-4.675730614e-13)
	(-1.454785823e-13,-5.224885242e-13)	(-2.46976383e-13,-1.597848138e-13)	(5.63812161e-14,2.389675954e-13)	(-9.199009153e-13,8.042608226e-13)	(-1.505325228e-13,4.310272458e-13)
	(-5.145625665e-13,3.156090202e-14)	(-2.347524034e-44,6.667500406e-45)	(-6.529855043e-44,-2.566229134e-44)	(4.9195074e-45,3.153118499e-45)	(1.193735308e-12,8.662915841e-13)
	(-1.19955914e-44,2.610800341e-44)	(-1.119375738e-43,-6.28046701e-44)	(-4.550623921e-45,-9.861868715e-45)	(2.425482626e-13,-6.058745413e-13)	(3.597700176e-13,3.212066757e-13)
	(2.077124298e-13,-7.803950854e-13)	(4.320930589e-13,-3.511862861e-13)	(-4.628790371e-13,4.872576538e-14)	(-7.036111959e-13,-9.767309126e-13)	(8.070064928e-13,2.03366316e-14)
	(1.454890058e-13,-4.381383035e-13)	(-6.303375218e-13,4.863073674e-13)	(5.004734092e-14,-7.461553587e-13)	(-8.435468798e-13,-5.110911055e-13)	(1.269451732e-13,7.310333495e-13)
	(-3.964097033e-13,-1.459310115e-12)	(-3.978210203e-13,1.14006471e-13)	(-5.642292762e-14,3.855730316e-13)	(-7.323339883e-14,-9.81126467e-13)	(-4.445711387e-13,-7.941269468e-13)
	(5.004651469e-13,5.879183168e-14)	(-6.168797413e-13,-1.197606049e-12)	(-5.934924678e-13,-2.478527747e-13)	(5.109366019e-13,3.57760874e-13)	(5.474662203e-13,2.995837888e-13)
	(-2.821003456e-13,-1.090435029e-12)	(-7.373400739e-13,1.029706171e-12)	(-2.88357503e-13,-1.381257796e-14)	(-8.469433884e-14,-5.19829083e-13)	(-5.773898692e-13,9.503034065e-13)
	(-7.182323038e-13,3.758796686e-13)	(-8.592395578e-13,1.752559121e-13)	(-6.59846336e-13,1.344652179e-13)	(-1.058039218e-14,1.213935188e-12)	(-1.806134949e-15,4.981385149e-13)
	(-7.506670964e-46,-4.894625898e-45)	(-6.732943679e-13,3.153759712e-13)	(-9.8433006e-13,-1.294753203e-12)	(-1.818289446e-44,-1.974125698e-44)	(-1.510525921e-12,7.909022632e-13)
	(-2.722247849e-13,-2.473416636e-12)	(1.368730864e-13,1.587911708e-13)	(5.160653286e-45,-2.895329716e-44)	(-3.203681126e-44,7.451509339e-45)	(-2.228736891e-45,-1.156377635e-44)
	(4.224890489e-13,7.470597394e-14)	(-3.932729514e-13,4.746183498e-14)	(-3.383227044e-13,-2.06993827e-13)	(-3.162846116e-13,8.505574091e-13)	(-3.666501143e-44,-1.388488746e-44)
	(-3.470145971e-45,1.472826273e-44)	(-3.413054122e-44,-1.485549261e-44)	(-1.103157697e-12,-3.379587218e-13)	(5.280057909e-13,1.22365522e-13)	(-1.190059117e-12,-1.020779846e-13)
	(-6.636409538e-13,4.940896253e-13)	(-5.703668241e-13,-1.038916938e-12)	(3.947956754e-13,-7.304689949e-13)	(-2.9531696e-13,-1.989150215e-13)	(-5.360363447e-13,7.007398151e-14)
	(-2.518251907e-13,-2.007746803e-14)	(4.943948071e-13,9.399415916e-13)	(-2.264458628e-15,4.542703786e-13)	(1.613155437e-13,-4.770267909e-13)	(-4.952583905e-13,1.000473314e-12)
	(-5.655215788e-13,1.075899116e-12)	(4.701267324e-14,5.989772091e-13)	(-2.418373908e-13,-4.361810008e-14)	(-4.131243247e-13,1.867530993e-13)	(-9.981346709e-13,-2.06707103e-13)
	(9.421852605e-15,-4.659630345e-14)	(1.575680397e-14,2.751788279e-13)	(-1.131750759e-13,1.404232638e-14)	(-1.166565594e-12,9.465559314e-13)	(-3.931134018e-13,-1.042761971e-14)
	(-2.955726145e-13,-3.56201075e-13)	(-2.021826905e-13,2.390808673e-13)	(-4.191170128e-13,-1.008154433e-13)	(-5.071517885e-13,-1.64888366e-13)	(-3.025069071e-13,-8.239357418e-13)
	(-1.650885618e-13,-3.942330527e-13)	(-2.99958095e-44,2.147069756e-44)	(-2.109205513e-14,1.999279938e-12)	(-1.626795024e-12,-1.163779155e-13)	(-3.751050323e-14,-4.093203571e-13)
	(1.090716591e-44,-2.61283036e-45)	(2.191868533e-13,6.427026501e-14)	(-3.450425948e-13,2.540877341e-14)	(-6.689397531e-13,3.457890045e-13)	(1.210589899e-13,1.427311754e-13)
	(-2.166906574e-13,3.417523419e-14)	(1.158202166e-44,5.765510709e-45)	(1.361327491e-44,3.367216966e-45)	(1.557105953e-44,9.545564137e-45)	(-3.117296042e-13,-1.307468379e-13)
	(1.088551986e-13,2.333993209e-13)	(-1.724533868e-14,3.523488468e-13)	(-2.19721246e-13,4.965424329e-13)	(-1.324510477e-44,-9.812795416e-45)	(-5.054496252e-44,-4.641226558e-44)
	(-9.573492537e-45,3.658775485e-45)	(-5.814174353e-13,2.758644284e-13)	(-3.941949921e-13,-9.516294392e-15)	(3.296487213e-13,1.412896142e-12)	(7.944510095e-13,2.040657067e-13)
	(-4.269425518e-13,5.318462631e-14)	(-4.030221598e-13,-9.134903169e-14)	(-3.679190394e-13,-2.971425766e-13)	(5.621160594e-15,-4.191550471e-13)	(2.153998242e-13,1.647245184e-13)
