39536	
	(-4.262766808e-13,-5.275751547e-13)	(-2.961982917e-13,-6.797187643e-13)	(-2.250853005e-13,-5.539645714e-13)	(-9.962155174e-13,2.096592754e-13)	(-4.029179029e-13,8.806517671e-14)
	(3.993846488e-45,-1.467104772e-45)	(-3.45513544e-13,-5.173100301e-13)	(9.109416424e-13,-1.018138868e-12)	(1.304614769e-44,-1.900848483e-44)	(-9.136517338e-13,-1.114670989e-12)
	(2.012494113e-12,-6.541117453e-13)	(-1.077591234e-13,1.454262869e-13)	(2.516104726e-44,-1.008265722e-45)	(-1.195995311e-44,-2.541844843e-44)	(9.220992948e-45,-4.037695715e-45)
	(1.25426806e-14,3.675464963e-13)	(-1.132995891e-13,-3.138977594e-13)	(1.105877078e-13,-3.23566557e-13)	(-7.776654375e-13,-8.745218391e-14)	(4.903202654e-45,-3.333047346e-44)
	(-1.298379311e-44,-2.036351423e-46)	(6.135499394e-45,-3.137099218e-44)	(7.599719405e-14,-9.729416625e-13)	(-7.022680874e-15,4.603478557e-13)	(-1.383923381e-13,-9.794426085e-13)
	(-5.375706904e-13,-4.644493302e-13)	(7.59561011e-13,-6.680059436e-13)	(6.785998517e-13,1.973843177e-13)	(1.016556622e-13,-2.701726089e-13)	(-1.534484636e-13,-4.249697496e-13)
	(-3.272334705e-14,-2.178566475e-13)	(-6.874893505e-13,6.188507531e-13)	(-3.844647617e-13,8.309534877e-14)	(4.314415928e-13,4.591053573e-14)	(-9.283933072e-13,-2.177171261e-13)
	(-1.000503392e-12,-3.08203851e-13)	(-4.776236039e-13,1.321225796e-13)	(-6.236002623e-15,-2.251544164e-13)	(-2.302852209e-13,-3.050478417e-13)	(-1.175244206e-14,-8.70271246e-13)
	(4.026882761e-14,1.951948136e-14)	(-2.219909513e-13,5.920146254e-14)	(-3.076965344e-14,-9.310050689e-14)	(-1.019498169e-12,-8.031369183e-13)	(-6.321416822e-14,-3.623771117e-13)
	(2.424919897e-13,-3.227373311e-13)	(-2.518642215e-13,-1.482502299e-13)	(1.047866044e-14,-3.801072021e-13)	(3.942780056e-14,-4.583430976e-13)	(6.159840406e-13,-4.223469689e-13)
	(3.01305811e-13,-2.116603924e-13)	(-2.338464722e-44,-2.09842995e-44)	(-1.636702414e-12,3.210313781e-13)	(-1.629761591e-13,-1.334143307e-12)	(3.358969274e-13,-1.062283374e-13)
	(4.126331705e-45,8.563465789e-45)	(3.076498703e-15,1.464199591e-13)	(-3.299736741e-14,-2.642049246e-13)	(-4.070646001e-13,-5.232517166e-13)	(-7.947451216e-14,9.91094928e-14)
	(-4.646607484e-14,-1.737659208e-13)	(-2.671581463e-45,1.083523483e-44)	(-5.774260527e-46,1.197850498e-44)	(-5.131676451e-45,1.481716795e-44)	(5.525302882e-14,-2.844424252e-13)
	(-1.798088227e-13,1.355089421e-13)	(-3.018373757e-13,5.205023233e-14)	(-4.548186597e-13,-8.88361604e-14)	(5.707404733e-45,-1.296372324e-44)	(2.951064472e-44,-5.100314912e-44)
	(-4.817239915e-45,-7.310318888e-45)	(-3.322985318e-13,-4.338795091e-13)	(-6.605656069e-14,-3.328241045e-13)	(-1.112284355e-12,5.526840368e-13)	(-2.262192521e-14,7.04933603e-13)
	(-1.212133547e-13,-3.477709291e-13)	(2.713940984e-15,-3.548303211e-13)	(1.887291419e-13,-3.596402181e-13)	(3.619590225e-13,-6.717357948e-14)	(-9.849854878e-14,2.092831442e-13)
