39536	
	(2.808885889e-13,-2.583913794e-13)	(-2.182381631e-13,-8.402636673e-13)	(-6.242900082e-14,-8.584702947e-13)	(-4.477060012e-45,2.43928737e-44)	(-7.475514443e-44,7.311155452e-44)
	(8.803720874e-45,4.88067686e-45)	(1.168491485e-12,-1.586038244e-12)	(-3.332046439e-13,8.272148633e-13)	(2.284606013e-13,3.479417469e-15)	(9.27073709e-13,-5.269632705e-13)
	(6.600782971e-14,1.247379301e-12)	(-6.292144563e-13,-5.828204368e-13)	(1.789859011e-12,3.429486613e-13)	(3.693174353e-13,3.193248323e-14)	(-1.957587362e-14,3.280132102e-13)
	(-2.156780006e-13,-3.474515855e-13)	(1.935947709e-12,6.554593013e-13)	(1.111307318e-12,3.313229069e-13)	(-2.774590628e-13,-1.313930653e-13)	(6.816591845e-13,3.106423599e-13)
	(8.920954451e-13,-7.547303319e-13)	(-4.770372054e-13,5.443907849e-13)	(6.207879359e-13,-7.313039242e-13)	(5.855285445e-13,1.225746751e-12)	(-2.07749483e-44,-2.066930879e-44)
	(-1.223478041e-12,-1.230425296e-12)	(6.056028096e-13,-1.586205155e-12)	(7.1303053e-13,-1.54517086e-13)	(-1.24906705e-13,-1.193014549e-12)	(-9.548079259e-13,-1.314702929e-13)
	(-3.508160621e-14,-2.299472381e-13)	(-4.506923718e-13,1.447968634e-12)	(-3.851976779e-13,-7.315020799e-13)	(-6.412250533e-13,1.175980259e-12)	(-6.84177861e-13,-8.780160257e-13)
	(7.183062562e-13,-1.694047507e-13)	(-1.576012458e-12,9.133008402e-14)	(-7.123086646e-13,2.255893144e-13)	(-9.930145968e-13,9.512338325e-13)	(-2.800773385e-14,3.441433111e-13)
	(-2.269180466e-13,-8.759057635e-14)	(-1.783515101e-13,-3.9700836e-13)	(-4.628794466e-13,6.993018392e-13)	(4.670158709e-13,-2.041100175e-12)	(6.736237255e-13,-2.948231785e-13)
	(-1.878076449e-13,2.206670257e-13)	(1.419644267e-12,-2.919245678e-13)	(7.708995678e-13,-5.61573336e-14)	(-5.184594261e-13,2.018927013e-13)	(1.81988931e-12,-1.366246422e-12)
	(-2.629169013e-13,-2.663490669e-13)	(4.156393414e-13,-2.791099218e-13)	(1.145061645e-12,-4.993521078e-13)	(1.89057111e-44,2.234661532e-44)	(-1.342543347e-12,-8.354066169e-13)
	(6.984388425e-13,-2.104638551e-12)	(2.047781727e-44,1.297022342e-44)	(-9.211905979e-44,1.405958725e-43)	(-9.451036235e-45,1.014713314e-44)	(-2.740290129e-44,2.427362821e-44)
	(-2.98424783e-44,2.361935705e-44)	(-3.380120864e-44,9.725773384e-45)	(6.670169385e-13,-1.061233379e-12)	(-3.462921259e-13,4.427075873e-13)	(-2.769634841e-14,-3.289423086e-13)
	(4.897252487e-13,3.443819424e-13)	(8.307683855e-13,4.168066905e-14)	(-1.905514381e-13,-5.250250988e-13)	(1.252658241e-12,1.506076216e-13)	(5.584399171e-13,-1.007707331e-12)
	(-1.041962916e-12,6.216511301e-13)	(1.521127046e-12,-1.422807709e-12)	(1.259042414e-12,-6.33114811e-13)	(-9.189681135e-13,4.506555426e-13)	(-2.313035908e-13,6.649127956e-13)
	(-7.355191756e-13,7.124240761e-13)	(-5.002222799e-44,-2.736657028e-45)	(-1.863467111e-12,4.596824855e-13)	(-1.688304801e-12,-2.578798976e-12)	(7.092669322e-13,-3.872349426e-13)
	(-4.53378685e-13,1.56870295e-12)	(-5.655259017e-13,5.789773676e-14)	(1.737558159e-13,7.180181039e-14)	(-7.016871059e-14,3.928935062e-13)	(3.176365968e-13,2.862795194e-13)
	(-7.618895148e-13,8.444167352e-15)	(9.797834238e-13,1.512517801e-12)	(8.662849264e-15,-4.760195419e-13)	(-3.191445406e-13,-8.793352557e-13)	(4.872733421e-13,-1.907927426e-12)
	(1.784730906e-12,9.856669264e-13)	(-1.144578732e-12,3.1482001e-14)	(-2.419620841e-13,-2.151708308e-13)	(-3.616828064e-13,5.891846938e-13)	(-3.79273223e-13,-2.698609354e-13)
	(-1.887868376e-13,4.373818649e-13)	(-2.626502322e-13,-2.341077477e-13)	(-3.316066365e-13,-5.93113925e-13)	(-1.175819175e-12,-9.8214537e-14)	(3.864063909e-44,-1.805785453e-44)
	(-3.481928367e-13,1.750599627e-13)	(-4.139632427e-13,-1.119983938e-12)	(3.957025959e-46,-5.261890603e-44)	(-1.26249989e-43,1.376985817e-43)	(1.381087871e-44,-4.973454186e-44)
