39536	
	(-1.115316621e-13,4.183718725e-14)	(8.86939233e-13,2.021119597e-14)	(-3.531249285e-13,3.351812656e-13)	(7.567096238e-13,2.002199024e-13)	(-3.863146238e-13,5.311503186e-13)
	(-2.285778695e-13,-4.051388718e-13)	(2.853780473e-13,8.676299245e-13)	(2.470524161e-13,3.571591916e-13)	(7.014064011e-13,4.20268683e-13)	(1.989638814e-13,-4.337104478e-14)
	(-1.590696788e-14,1.723240535e-13)	(-1.68668767e-13,1.741439203e-13)	(4.731695798e-13,1.500829278e-13)	(-1.219811376e-12,8.755156483e-14)	(-2.558989314e-13,-3.254624869e-13)
	(1.555846897e-13,7.545116017e-14)	(-3.735253735e-13,-7.507700065e-13)	(-1.441160764e-13,-3.99002573e-13)	(1.990059496e-13,2.531488677e-13)	(-1.048917474e-12,-7.926144126e-13)
	(-9.38077008e-14,2.217740044e-13)	(-2.179410007e-13,-2.0114086e-13)	(-4.545735253e-13,-5.509340557e-13)	(9.742860574e-45,-1.419064437e-44)	(-2.644925345e-13,8.824594241e-13)
	(-1.298065982e-12,-6.565066178e-14)	(4.011556787e-45,-1.374465721e-44)	(9.468701321e-44,2.936548248e-44)	(7.292831563e-45,3.654822443e-45)	(1.822518496e-44,1.159797159e-44)
	(1.842032128e-44,1.268766962e-44)	(1.086256484e-44,1.763355848e-44)	(-7.13634331e-13,-2.006106791e-13)	(3.338758319e-13,1.292902009e-13)	(-1.803404431e-13,6.701026917e-14)
	(1.490496054e-13,-3.331284302e-13)	(-8.519889746e-14,-4.565987907e-13)	(-2.631117442e-13,1.805650469e-13)	(-8.989445059e-14,-7.289172857e-13)	(-6.401924979e-13,-1.573836625e-13)
	(5.19353881e-13,4.976857952e-13)	(-1.024808552e-12,-6.399040213e-13)	(-5.620494087e-13,-6.133095797e-13)	(3.770137714e-13,4.327962892e-13)	(3.90915647e-13,2.194308154e-14)
	(5.188663084e-13,3.038451202e-13)	(6.322023965e-45,2.877717136e-44)	(5.168083137e-13,9.764923214e-13)	(-1.181563125e-12,1.319286111e-12)	(-3.350613923e-13,-3.417023532e-13)
	(9.644917723e-13,3.706140838e-14)	(1.265917717e-13,3.077290901e-13)	(2.194526242e-14,-7.973741652e-14)	(2.329984535e-13,-2.457441925e-14)	(1.280379216e-13,-1.920523273e-13)
	(1.168234701e-13,4.260108946e-13)	(7.234668604e-13,-7.700084255e-13)	(-2.475984893e-13,5.376015036e-14)	(-4.572552719e-13,3.27860333e-13)	(-1.130112595e-12,1.523121037e-15)
	(2.499152444e-13,-1.173987599e-12)	(1.790899033e-13,6.5476712e-13)	(-8.48447082e-14,1.801309192e-13)	(4.287035253e-13,1.191068389e-13)	(-9.643803592e-14,2.401434527e-13)
	(3.1310589e-13,3.019713091e-14)	(-6.916967248e-14,1.944926416e-13)	(-2.822193154e-13,2.785180446e-13)	(1.620736102e-13,6.798527104e-13)	(-1.637875309e-44,-1.89987483e-44)
	(1.080916992e-13,1.913968661e-13)	(-5.979858494e-13,3.645189455e-13)	(-2.992550866e-44,8.131954834e-45)	(9.867722751e-44,4.940706729e-44)	(-3.051155841e-44,2.459512929e-46)
	(-1.26813232e-44,-2.412656914e-44)	(1.187666437e-43,5.391073116e-44)	(9.212637754e-45,1.320553416e-44)	(-7.188818635e-14,5.385391597e-13)	(1.576972128e-14,-9.593634821e-14)
	(1.018564089e-13,6.812511778e-13)	(-9.83035009e-45,1.756103723e-44)	(5.372704061e-44,2.510504353e-44)	(-6.888374545e-45,-2.122794454e-44)	(-1.065451059e-12,-4.740855202e-13)
	(-3.278678256e-13,1.426035333e-13)	(1.096041615e-14,-2.447352001e-13)	(-7.977407605e-15,8.562365846e-13)	(-4.434526806e-14,3.824951714e-13)	(3.47138136e-13,-1.229614152e-13)
	(-3.978467173e-13,1.25238445e-13)	(1.429106653e-13,4.192859797e-13)	(1.048371031e-13,-1.934402044e-13)	(-7.216755434e-14,2.805653797e-13)	(-3.099270415e-13,5.147478706e-13)
	(4.373507958e-13,8.252197632e-14)	(3.029929193e-13,-2.709098423e-13)	(3.870447292e-13,-3.724047943e-13)	(1.462588981e-13,5.375122599e-13)	(2.43886661e-14,-4.911967951e-13)
	(-7.456731509e-14,2.855824952e-14)	(-7.037487054e-45,-1.144408678e-44)	(-1.200457227e-13,-7.971922562e-13)	(4.210124515e-13,-4.108400399e-13)	(6.780574601e-13,-9.004314615e-13)
	(2.887267581e-13,1.085205171e-14)	(-2.183183786e-13,3.852249755e-13)	(2.236963407e-13,3.909371384e-13)	(4.267356192e-13,-7.007064714e-13)	(-4.268802924e-14,-3.244620358e-14)
