96240	
	(3437802.73,0)	(3803719.89,0)	(3426993.09,0)	(3979227.542,0)	(3585089.428,0)
	(3997713.022,0)	(3601741.332,0)	(4024518.371,0)	(3625887.962,0)	(4019500.875,0)
	(3621368.081,0)	(3854433.143,0)	(3472674.871,0)	(3841867.58,0)	(3461355.933,0)
	(3830435.184,0)	(3451057.741,0)	(3869523.112,0)	(3486267.721,0)	(3913789.161,0)
	(3526142.317,0)	(3930860.204,0)	(3541519.886,0)	(3947949.908,0)	(3556914.315,0)
	(3965813.645,0)	(3573006.048,0)	(3885088.061,0)	(3500288.475,0)	(3900978.193,0)
	(3514602.193,0)	(4050772.485,0)	(3649538.021,0)	(4029943.38,0)	(3630774.777,0)
	(4285526.127,0)	(3861013.057,0)	(4247119.701,0)	(3826414.638,0)	(4222964.604,0)
	(3804654.535,0)	(4200250.158,0)	(3784192.333,0)	(4262886.216,0)	(3840617.787,0)
	(4070487.897,0)	(3667298.093,0)	(4177064.579,0)	(3763305.782,0)	(4090687.911,0)
	(3685494.776,0)	(4154463.327,0)	(3742945.704,0)	(4111926.384,0)	(3704626.996,0)
	(4132987.037,0)	(3723599.105,0)	(4300959.215,0)	(3874915.871,0)	(4653282.015,0)
	(4192316.813,0)	(4690257.701,0)	(4225628.429,0)	(4766014.32,0)	(4293878.889,0)
	(4794200.67,0)	(4319272.506,0)	(4752211.115,0)	(4281443.061,0)	(4717057.136,0)
	(4249772.308,0)	(4922154.451,0)	(4434549.167,0)	(4889593.5,0)	(4405214.029,0)
	(4819685.045,0)	(4342231.622,0)	(4851410.288,0)	(4370813.61,0)	(5064983.93,0)
	(4563230.285,0)	(5019997.413,0)	(4522699.439,0)	(4985532.154,0)	(4491648.158,0)
	(4945612.746,0)	(4455683.284,0)	(4623626.35,0)	(4165599.943,0)	(4316186.199,0)
	(3888632.997,0)	(4562921.998,0)	(4110911.596,0)	(4584564.543,0)	(4130408.902,0)
	(4535087.44,0)	(4085835.728,0)	(4486857.611,0)	(4042386.374,0)	(4504375.246,0)
	(4058167.458,0)	(4461826.005,0)	(4019835.855,0)	(4432817.463,0)	(3993702.664,0)
	(4379162.952,0)	(3945366.808,0)	(4404759.552,0)	(3968426.019,0)	(4344733.947,0)
	(3914350.583,0)	(4367783.238,0)	(3935114.902,0)	(3546169.19,0)	(3195005.108,0)
	(3543930.422,0)	(3192988.787,0)	(3545573.651,0)	(3194468.591,0)	(3548045.416,0)
	(3196694.876,0)	(3548534.705,0)	(3197135.543,0)	(3550950.915,0)	(3199311.828,0)
	(3554994.115,0)	(3202953.576,0)	(3551306.7,0)	(3199632.25,0)	(3558543.763,0)
	(3206150.817,0)	(3562367.19,0)	(3209594.658,0)	(3565077.052,0)	(3212035.481,0)
	(3563930.296,0)	(3211002.554,0)	(3557276.286,0)	(3205009.149,0)	(3601824.42,0)
	(3245134.795,0)	(3596263.748,0)	(3240126.124,0)	(3591224.817,0)	(3235587.429,0)
	(3572443.584,0)	(3218670.695,0)	(3576195.015,0)	(3222049.701,0)	(3585309.588,0)
	(3230259.43,0)	(3580808.854,0)	(3226205.495,0)	(3576275.432,0)	(3222122.12,0)
	(3568161.087,0)	(3214813.335,0)	(3585739.555,0)	(3230646.697,0)	(3609830.44,0)
	(3252346.086,0)	(3602187.782,0)	(3245462.055,0)	(3615460.072,0)	(3257416.892,0)
